iter	MultiClass
0	1.066905457
1	0.8783026536
2	0.7627925246
3	0.6882893964
4	0.6423926995
5	0.6045306264
6	0.5773935017
7	0.5578735049
8	0.5451639378
9	0.5292405175
10	0.5222435073
11	0.5117431512
12	0.5040023834
13	0.4982546299
14	0.4890349225
15	0.4826619901
16	0.4784007892
17	0.4728654577
18	0.4693531672
19	0.4647542587
20	0.4627404346
21	0.4564346142
22	0.4497822854
23	0.4460409031
24	0.4435067618
25	0.4384801151
26	0.4363544042
27	0.4335730476
28	0.4309372677
29	0.4279666078
30	0.4246412991
31	0.4225543586
32	0.4187322185
33	0.4150114064
34	0.4137459846
35	0.4114197297
36	0.4090630449
37	0.4060449955
38	0.4025511903
39	0.3989832354
40	0.3970269233
41	0.3939692409
42	0.3903661528
43	0.3882766387
44	0.3861113077
45	0.3838828418
46	0.3822112629
47	0.3792679508
48	0.3775642422
49	0.3758965907
50	0.3737227247
51	0.3719564025
52	0.3694972899
53	0.3670604478
54	0.3650433389
55	0.3625536835
56	0.360880083
57	0.3584147666
58	0.3568262243
59	0.3550628523
60	0.3531491843
61	0.3515094735
62	0.35063952
63	0.34952304
64	0.3476217078
65	0.3456501358
66	0.3438688341
67	0.3425392472
68	0.341394317
69	0.3391227294
70	0.3376577832
71	0.3362134662
72	0.3350110067
73	0.3334306779
74	0.3327599123
75	0.330405534
76	0.328843619
77	0.3277471003
78	0.3252446034
79	0.324106462
80	0.3226432926
81	0.3216514595
82	0.3198367955
83	0.3182150267
84	0.3170666134
85	0.3160548931
86	0.3147942013
87	0.3138779245
88	0.3119091321
89	0.310867548
90	0.3098612143
91	0.3080151164
92	0.3074305039
93	0.3063217095
94	0.3051443345
95	0.3040263224
96	0.3030284996
97	0.302015727
98	0.3008407118
99	0.3000224832
100	0.2992041576
101	0.2981831317
102	0.2975297258
103	0.2951453094
104	0.2938929058
105	0.2923724115
106	0.2915098911
107	0.2905391709
108	0.2898253831
109	0.288337595
110	0.286963086
111	0.2862296163
112	0.285556163
113	0.2847423214
114	0.2839556746
115	0.2832370056
116	0.2825685591
117	0.2816116086
118	0.2809486243
119	0.279848721
120	0.2789106565
121	0.2779944391
122	0.2771750581
123	0.2762157053
124	0.2754671747
125	0.2743433476
126	0.2737726711
127	0.2729834657
128	0.2721358196
129	0.2715703169
130	0.2706107128
131	0.2693991965
132	0.2686991397
133	0.2681995509
134	0.2673551233
135	0.2664259759
136	0.2654984437
137	0.2647314204
138	0.263712396
139	0.2628995645
140	0.2619945918
141	0.2612228172
142	0.2604917158
143	0.2594978515
144	0.258646882
145	0.2580932782
146	0.2572558539
147	0.2564701364
148	0.2560771457
149	0.2545659519
150	0.2540410042
151	0.2535743899
152	0.2528251106
153	0.252385903
154	0.2519011222
155	0.2514432429
156	0.250708493
157	0.2500603342
158	0.2492357766
159	0.2486017545
160	0.247914988
161	0.2470300979
162	0.2463730402
163	0.2454930629
164	0.2446436194
165	0.2438584287
166	0.2434882706
167	0.2429860358
168	0.2423955972
169	0.24202631
170	0.241547204
171	0.2405985988
172	0.2402592833
173	0.2395327281
174	0.2391586113
175	0.2385364343
176	0.2379711032
177	0.2373124801
178	0.2366818366
179	0.2360317263
180	0.2353486393
181	0.2350336862
182	0.2345435975
183	0.2335763958
184	0.2329665501
185	0.2323938745
186	0.2317293511
187	0.2314220484
188	0.2298856142
189	0.2286820326
190	0.2278817174
191	0.2270828969
192	0.2265020864
193	0.2260829185
194	0.2254076474
195	0.2249698645
196	0.2245031032
197	0.2239411093
198	0.2233353691
199	0.2227352135
